emb_dim,h_dim,latent_dim,categorical_dim,batch_size,save_model,initial_temp,min_temp,epochs,anneal_rate,current_epoch,train_loss,kld,recon_loss
15,50,15,2,128,False,1.0,0.5,50,3e-05,0,471.10114317836025,0.2476849724289071,470.8534577933464
15,50,15,2,128,False,1.0,0.5,50,3e-05,1,425.6127717244691,0.2124447969112607,425.40032840960595
15,50,15,2,128,False,1.0,0.5,50,3e-05,2,405.35169890177184,0.21301745759189458,405.1386803052702
15,50,15,2,128,False,1.0,0.5,50,3e-05,3,387.5012923604217,0.2095100923302424,387.2917810935342
15,50,15,2,128,False,1.0,0.5,50,3e-05,4,370.64281872491154,0.2088104995245433,370.4340086878993
15,50,15,2,128,False,1.0,0.5,50,3e-05,5,354.4926127228289,0.2076411183038469,354.2849699410286
15,50,15,2,128,False,1.0,0.5,50,3e-05,6,338.868381057655,0.20670298087662756,338.6616789254036
15,50,15,2,128,False,1.0,0.5,50,3e-05,7,323.62660090831105,0.20581645851965108,323.4207849660631
15,50,15,2,128,False,1.0,0.5,50,3e-05,8,308.7238980288005,0.19127485197222693,308.5326232910156
15,50,15,2,128,False,1.0,0.5,50,3e-05,9,294.15620599398954,0.17967914143649255,293.97652692425976
15,50,15,2,128,False,1.0,0.5,50,3e-05,10,279.92043038889847,0.17064210723118228,279.74978856882336
15,50,15,2,128,False,1.0,0.5,50,3e-05,11,265.991187164138,0.12742889125044174,265.86375840329333
15,50,15,2,128,False,1.0,0.5,50,3e-05,12,252.41699564391078,0.09516183295137974,252.32183382656035
15,50,15,2,128,False,1.0,0.5,50,3e-05,13,239.23924322813255,0.06168141331297258,239.17756096434198
15,50,15,2,128,False,1.0,0.5,50,3e-05,14,226.5585944244216,0.028067273792723266,226.53052718863302
15,50,15,2,128,False,1.0,0.5,50,3e-05,15,214.4733391018862,0.014164997732976853,214.4591741403822
15,50,15,2,128,False,1.0,0.5,50,3e-05,16,203.1163373072503,0.0058694669760722485,203.11046790022877
15,50,15,2,128,False,1.0,0.5,50,3e-05,17,192.62534547247282,0.0042650735170390065,192.62108009296227
15,50,15,2,128,False,1.0,0.5,50,3e-05,18,183.13132084799076,0.004067598425304692,183.12725341122453
15,50,15,2,128,False,1.0,0.5,50,3e-05,19,174.6965122117522,0.004222958752607608,174.6922894894089
15,50,15,2,128,False,1.0,0.5,50,3e-05,20,167.38910375774236,0.004857618157180716,167.3842469104746
15,50,15,2,128,False,1.0,0.5,50,3e-05,21,161.16029003838807,0.005646678983125815,161.15464344340793
15,50,15,2,128,False,1.0,0.5,50,3e-05,22,155.9538951051828,0.00680638652665345,155.9470887579312
15,50,15,2,128,False,1.0,0.5,50,3e-05,23,151.64214497771712,0.007269703664750026,151.6348749656045
15,50,15,2,128,False,1.0,0.5,50,3e-05,24,148.09158476940175,0.008899966954608648,148.08268510175674
15,50,15,2,128,False,1.0,0.5,50,3e-05,25,145.18888762247497,0.010958048607639515,145.17792945145243
15,50,15,2,128,False,1.0,0.5,50,3e-05,26,142.80155793079356,0.013051290270867268,142.7885068608911
15,50,15,2,128,False,1.0,0.5,50,3e-05,27,140.83223256485238,0.0149628893672926,140.81727052130094
15,50,15,2,128,False,1.0,0.5,50,3e-05,28,139.2010496360821,0.018011035541720812,139.1830383637992
15,50,15,2,128,False,1.0,0.5,50,3e-05,29,137.85093663674033,0.022240595284911152,137.82869589789797
15,50,15,2,128,False,1.0,0.5,50,3e-05,30,136.68486861761104,0.024886476555170275,136.65998208061765
15,50,15,2,128,False,1.0,0.5,50,3e-05,31,135.70636226590827,0.028762182735359472,135.67760037585518
15,50,15,2,128,False,1.0,0.5,50,3e-05,32,134.86933970583078,0.033401886412863575,134.83593800581622
15,50,15,2,128,False,1.0,0.5,50,3e-05,33,134.1276985294911,0.038440174695865886,134.08925788837243
15,50,15,2,128,False,1.0,0.5,50,3e-05,34,133.48763287791888,0.043138755104653745,133.4444939629149
15,50,15,2,128,False,1.0,0.5,50,3e-05,35,132.91692352294922,0.04794970049795525,132.86897383210407
15,50,15,2,128,False,1.0,0.5,50,3e-05,36,132.40799291621255,0.053853557254728034,132.35413946499483
15,50,15,2,128,False,1.0,0.5,50,3e-05,37,131.94070451430852,0.059846668426997096,131.8808578997027
15,50,15,2,128,False,1.0,0.5,50,3e-05,38,131.48926000437027,0.06420212944979825,131.42505789066547
