emb_dim,h_dim,latent_dim,categorical_dim,batch_size,save_model,initial_temp,min_temp,epochs,anneal_rate,current_epoch,train_loss,kld,recon_loss
100,100,15,2,128,False,1.0,0.5,50,3e-05,0,459.244369759744,0.07246208929286971,459.1719070350268
100,100,15,2,128,False,1.0,0.5,50,3e-05,1,424.83133018873013,0.014943186435539749,424.8163866917731
100,100,15,2,128,False,1.0,0.5,50,3e-05,2,405.5748377004381,0.01654356939316784,405.5582943068025
100,100,15,2,128,False,1.0,0.5,50,3e-05,3,387.92183031956796,0.014275812281511766,387.90755348837837
100,100,15,2,128,False,1.0,0.5,50,3e-05,4,371.1667633899668,0.010871507134803093,371.1558922193327
100,100,15,2,128,False,1.0,0.5,50,3e-05,5,355.01796001624007,0.00873768255783461,355.0092220411775
100,100,15,2,128,False,1.0,0.5,50,3e-05,6,339.36554713802445,0.007969102011839164,339.3575776663933
100,100,15,2,128,False,1.0,0.5,50,3e-05,7,324.1237115175026,0.007512826861000687,324.1161984607001
100,100,15,2,128,False,1.0,0.5,50,3e-05,8,309.2594496584729,0.008042345435785655,309.25140751791264
100,100,15,2,128,False,1.0,0.5,50,3e-05,9,294.7243910310018,0.009320444545775488,294.7150717045062
100,100,15,2,128,False,1.0,0.5,50,3e-05,10,280.4937110184306,0.012392720166408555,280.4813170037875
100,100,15,2,128,False,1.0,0.5,50,3e-05,11,266.5675298364123,0.01778516256718675,266.54974398955454
100,100,15,2,128,False,1.0,0.5,50,3e-05,12,252.95368670890343,0.027545249635014087,252.92614088532673
100,100,15,2,128,False,1.0,0.5,50,3e-05,13,239.68969128013316,0.044920349040825064,239.6447715970034
100,100,15,2,128,False,1.0,0.5,50,3e-05,14,226.7983602450039,0.07344241740789202,226.72491766998124
100,100,15,2,128,False,1.0,0.5,50,3e-05,15,214.42266786691235,0.0969118561122299,214.32575617837642
100,100,15,2,128,False,1.0,0.5,50,3e-05,16,202.69476756733425,0.1183679686725469,202.57639982950622
100,100,15,2,128,False,1.0,0.5,50,3e-05,17,191.7515194719009,0.13657967565138696,191.6149396527538
100,100,15,2,128,False,1.0,0.5,50,3e-05,18,181.8159606259172,0.1557297524661649,181.66023060498316
100,100,15,2,128,False,1.0,0.5,50,3e-05,19,172.8784817015927,0.17156709187267893,172.70691465936312
100,100,15,2,128,False,1.0,0.5,50,3e-05,20,165.09111309578407,0.1882613051003514,164.90285217959578
100,100,15,2,128,False,1.0,0.5,50,3e-05,21,158.32747156975677,0.2039463395736494,158.12352503992577
100,100,15,2,128,False,1.0,0.5,50,3e-05,22,152.61123758389806,0.21768599699215335,152.39355139969462
100,100,15,2,128,False,1.0,0.5,50,3e-05,23,147.7172395484882,0.2308928890781508,147.48634641868634
100,100,15,2,128,False,1.0,0.5,50,3e-05,24,143.79981455091612,0.24257060202116465,143.55724406374094
100,100,15,2,128,False,1.0,0.5,50,3e-05,25,140.38748312259906,0.2564706795782015,140.13101272161495
100,100,15,2,128,False,1.0,0.5,50,3e-05,26,137.59204889792764,0.2655738385507415,137.32647506966777
100,100,15,2,128,False,1.0,0.5,50,3e-05,27,135.12422804015776,0.27830668756974997,134.8459208367279
100,100,15,2,128,False,1.0,0.5,50,3e-05,28,133.07667844993634,0.28651651921193244,132.79016163862872
100,100,15,2,128,False,1.0,0.5,50,3e-05,29,131.37185605718287,0.29869491257061614,131.07316117260336
100,100,15,2,128,False,1.0,0.5,50,3e-05,30,129.55444555124527,0.30785218506886813,129.24659345426613
100,100,15,2,128,False,1.0,0.5,50,3e-05,31,128.15310845980986,0.31422318888632633,127.83888527042959
100,100,15,2,128,False,1.0,0.5,50,3e-05,32,126.76483567380114,0.32194108742376715,126.44289461420387
100,100,15,2,128,False,1.0,0.5,50,3e-05,33,125.69955119770535,0.32837571211941335,125.37117552362095
100,100,15,2,128,False,1.0,0.5,50,3e-05,34,124.7926677472025,0.3362271808787604,124.45644045666437
100,100,15,2,128,False,1.0,0.5,50,3e-05,35,123.8373964004095,0.34264980314186266,123.4947468457301
100,100,15,2,128,False,1.0,0.5,50,3e-05,36,122.76707416344743,0.34894574215398966,122.41812837716624
100,100,15,2,128,False,1.0,0.5,50,3e-05,37,122.13015346632478,0.35507389293849795,121.77507984308906
100,100,15,2,128,False,1.0,0.5,50,3e-05,38,121.5501540378971,0.3595237555754119,121.19063011717401
100,100,15,2,128,False,1.0,0.5,50,3e-05,39,120.80993627052939,0.3659532136021398,120.44398291993537
100,100,15,2,128,False,1.0,0.5,50,3e-05,40,119.85506999821953,0.37114754401517835,119.48392221018754
100,100,15,2,128,False,1.0,0.5,50,3e-05,41,119.13455550051526,0.3769374804272836,118.75761797151513
100,100,15,2,128,False,1.0,0.5,50,3e-05,42,118.49099739875582,0.3827098286942224,118.10828762159822
100,100,15,2,128,False,1.0,0.5,50,3e-05,43,117.84042303601682,0.387366435639766,117.45305650405463
100,100,15,2,128,False,1.0,0.5,50,3e-05,44,117.34911253702575,0.3912606153698916,116.9578521054094
100,100,15,2,128,False,1.0,0.5,50,3e-05,45,117.31070565913922,0.39293325770625753,116.91777257761244
100,100,15,2,128,False,1.0,0.5,50,3e-05,46,117.703047062152,0.39643196424068006,117.30661495482724
100,100,15,2,128,False,1.0,0.5,50,3e-05,47,116.54390653325707,0.40280860975302385,116.14109814891499
100,100,15,2,128,False,1.0,0.5,50,3e-05,48,115.7700547276281,0.4064232567067963,115.36363156987817
100,100,15,2,128,False,1.0,0.5,50,3e-05,49,115.52852504161181,0.4100942172068917,115.11843092270318
