train_id,emb_dim,h_dim,latent_dim,categorical_dim,batch_size,save_model,initial_temp,min_temp,epochs,anneal_rate,activation,model_name,current_epoch,train_loss,kld,recon_loss
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,0,133.52196658645545,0.003102368546536614,133.51886416271904
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,1,124.64522303797264,0.0009516612520487722,124.64427117616432
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,2,121.48190257035566,0.0002964025132424965,121.48160607775272
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,3,119.88589810534735,0.000104527983998427,119.88579285342391
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,4,118.76019957315856,6.967878321446838e-05,118.76013082430508
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,5,117.90604720985033,6.12174830046027e-05,117.90598604824002
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,6,117.36210181304763,5.911268781547728e-05,117.36204254824813
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,7,117.03406916665767,7.060326522316537e-05,117.03399864744745
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,8,116.89761074340146,0.00012049385311419031,116.89749023268895
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,9,116.03586481421033,9.433227186496446e-05,116.03577069024355
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,10,116.10789919689874,0.00011932511656520662,116.1077798242727
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,11,115.65362177896236,0.0001733884919957047,115.65344819969894
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,12,115.48775178688007,0.00016401159671618917,115.48758760736793
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,13,115.37670721401825,0.00012690505878427402,115.37658050705714
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,14,115.32256329784077,0.000162340813263021,115.32240097298806
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,15,115.10390177352653,0.00016313829029606687,115.1037385213441
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,16,115.23209912210538,0.0001384640562824663,115.23196061276599
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,17,114.94936935677713,0.0001770486471176312,114.94919232110293
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,18,114.78348258845713,0.00016090654948461308,114.78332152814497
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,19,114.55853102878972,0.00019057521228974387,114.55834042038047
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,20,114.50211840044727,0.0002508491699941436,114.50186781066557
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,21,114.34282410342391,0.0002866591174459054,114.3425376428425
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,22,114.15864461825039,0.0006829662433727671,114.15796159775876
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,23,117.7619757046357,0.29891323401124437,117.46306251820938
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,24,114.31181748532458,0.44166138191908105,113.87015630395373
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,25,114.17878917040746,0.4387616203964086,113.74002758047199
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,26,113.80671531719398,0.4524983192346373,113.3542168970266
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,27,113.25634500071489,0.43941510925635446,112.81692981193079
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,28,112.82837571623575,0.44971378369884596,112.37866173001284
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,29,112.97284496159844,0.6088659776508479,112.36397906561582
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,30,112.48814619707139,0.606862585847549,111.88128354404513
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,31,112.15227162903844,0.5791539052573357,111.5731177145605
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,32,111.9383821856251,0.5640675567131674,111.37431445042732
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,33,111.63670943455143,0.5266276769216548,111.1100818781563
tunning_0,128,256,16,2,128,False,1.0,0.5,50,3e-05,gumbel,tunning_autoencoder,34,111.43455463219743,0.5432276251566345,110.89132711505363
