train_id,emb_dim,h_dim,latent_dim,categorical_dim,batch_size,save_model,initial_temp,min_temp,epochs,anneal_rate,activation,model_name,current_epoch,train_loss,kld,recon_loss
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,36,109.43580614796001,0.039351227029499426,109.39645491120565
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,37,109.80539800317248,0.1989133901358968,109.60648463971049
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,38,108.80919571344366,0.07016756583149261,108.7390280454857
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,39,108.19777447610929,0.10195937456347007,108.09581499468555
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,40,109.36448408095218,0.18440755518431162,109.18007634621299
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,41,109.29444379437695,0.183319925603287,109.11112381740169
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,42,107.8089609936456,0.1271856725215912,107.68177553039888
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,43,108.20418803599658,0.08385295597887829,108.12033515213602
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,44,111.21346365154119,0.0369818899265969,111.17648170007527
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,45,115.71997841682223,0.20070612426456166,115.5192723142508
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,46,114.51011796814302,0.06496476351144564,114.44515354725537
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,47,115.3921970346356,0.08423853982548687,115.30795855021609
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,48,114.85282111826523,0.1657267048214022,114.68709399818715
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,49,117.6092338351255,0.06730664196264678,117.5419270636627
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,50,119.11458534957296,0.16422970518881444,118.95035597237434
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,51,120.80444203160744,0.03795901134363196,120.76648290644692
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,52,119.55127579072563,0.04603779770804373,119.50523779010246
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,53,119.71222113509205,0.07480642631732298,119.63741479525909
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,54,121.00852350898869,0.08308873790733064,120.92543489234882
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,55,122.44536152202122,0.4302950073342297,122.0150664313722
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,56,126.10026634595671,0.08537619186369753,126.01489023872502
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,57,125.83282171428533,0.4467427607893285,125.38607874496208
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,58,124.84964564623753,0.13290378661280838,124.71674205716802
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,59,127.57901603740882,0.21989189174787774,127.35912384117506
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,60,127.74636105279238,0.09279057778706208,127.6535704807682
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,61,127.83622490898681,0.057851216020011115,127.77837376041307
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,62,128.08998453551234,0.17856785115780752,127.91141668077331
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,63,133.83865257389638,0.037868999500465655,133.8007831468108
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,64,136.4280395929326,0.25856018321619506,136.16947968625232
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,65,129.90348008719596,0.2607629703388688,129.64271703477723
Z5bw49Bh,512,1024,15,1,128,True,1,0.5,200,3e-05,bc,daae_z_sum,66,125.70656811203087,0.13060881444433117,125.5759593900396
