emb_dim,h_dim,latent_dim,categorical_dim,batch_size,save_model,initial_temp,min_temp,epochs,anneal_rate,current_epoch,train_loss,kld,recon_loss
50,50,15,2,128,False,1,0.5,50,3e-05,0,472.5455327323787,0.2124318646380256,472.3331007140776
50,50,15,2,128,False,1,0.5,50,3e-05,1,430.5934092484785,0.1319758038741449,430.4614331998878
50,50,15,2,128,False,1,0.5,50,3e-05,2,410.72297137350006,0.130791705204637,410.5921799464779
50,50,15,2,128,False,1,0.5,50,3e-05,3,392.7787318782912,0.12595068317585886,392.6527817868396
50,50,15,2,128,False,1,0.5,50,3e-05,4,375.7727895494324,0.12176002142179078,375.6510298080866
50,50,15,2,128,False,1,0.5,50,3e-05,5,359.47668220983684,0.1206517914793768,359.3560288571521
50,50,15,2,128,False,1,0.5,50,3e-05,6,343.729222587459,0.12018766118347315,343.6090350915055
50,50,15,2,128,False,1,0.5,50,3e-05,7,328.4050677389071,0.11965080445313322,328.28541809419244
50,50,15,2,128,False,1,0.5,50,3e-05,8,313.4382853639719,0.11804940942571966,313.3202359531466
50,50,15,2,128,False,1,0.5,50,3e-05,9,298.825969885726,0.11531061493889402,298.71066064992664
50,50,15,2,128,False,1,0.5,50,3e-05,10,284.5437809222311,0.11330871996135343,284.43047235815567
50,50,15,2,128,False,1,0.5,50,3e-05,11,270.5662079700449,0.1090793045268533,270.45712904113435
50,50,15,2,128,False,1,0.5,50,3e-05,12,256.91083513965924,0.09866110758228197,256.81217425435943
50,50,15,2,128,False,1,0.5,50,3e-05,13,243.60845180111036,0.07708622951533912,243.53136524179365
50,50,15,2,128,False,1,0.5,50,3e-05,14,230.73903390452347,0.04849057905993409,230.6905434961477
50,50,15,2,128,False,1,0.5,50,3e-05,15,218.4337282971124,0.03898591258002249,218.3947419224523
50,50,15,2,128,False,1,0.5,50,3e-05,16,206.79735788587706,0.03126646074059918,206.76609127824477
50,50,15,2,128,False,1,0.5,50,3e-05,17,195.96093024996762,0.023787866948553213,195.93714264084622
50,50,15,2,128,False,1,0.5,50,3e-05,18,186.07586265268907,0.01951181737304722,186.05635104521863
50,50,15,2,128,False,1,0.5,50,3e-05,19,177.24870072675674,0.01924327198539485,177.22945728618137
50,50,15,2,128,False,1,0.5,50,3e-05,20,169.52739138102663,0.020675885177201987,169.50671496312262
50,50,15,2,128,False,1,0.5,50,3e-05,21,162.91489271300932,0.022488755909777478,162.89240370270954
50,50,15,2,128,False,1,0.5,50,3e-05,22,157.34599211466247,0.026523808274644515,157.31946846134755
50,50,15,2,128,False,1,0.5,50,3e-05,23,152.70832184006497,0.029599621778775974,152.67872206545667
50,50,15,2,128,False,1,0.5,50,3e-05,24,148.89228449868892,0.03434600786033256,148.8579390720768
50,50,15,2,128,False,1,0.5,50,3e-05,25,145.74729464199004,0.039165790928579164,145.70812878687738
50,50,15,2,128,False,1,0.5,50,3e-05,26,143.13464540934694,0.04360510003418554,143.09104025824954
50,50,15,2,128,False,1,0.5,50,3e-05,27,140.9961485467563,0.04659234458652649,140.9495560451107
50,50,15,2,128,False,1,0.5,50,3e-05,28,139.20986356787918,0.05219179161345761,139.1576719336747
50,50,15,2,128,False,1,0.5,50,3e-05,29,137.6987609020254,0.05698144215658225,137.64177994701743
50,50,15,2,128,False,1,0.5,50,3e-05,30,136.41448165303436,0.06339444425883214,136.35108690630665
50,50,15,2,128,False,1,0.5,50,3e-05,31,135.29833583937165,0.070006323247654,135.22832927387722
50,50,15,2,128,False,1,0.5,50,3e-05,32,134.33850127162196,0.07729552900264276,134.2612056837556
50,50,15,2,128,False,1,0.5,50,3e-05,33,133.44784904184922,0.08291559300040671,133.3649335408079
50,50,15,2,128,False,1,0.5,50,3e-05,34,132.70437837042203,0.08669644153743818,132.61768185104455
50,50,15,2,128,False,1,0.5,50,3e-05,35,132.0436277863729,0.09174171542923754,131.95188600318866
50,50,15,2,128,False,1,0.5,50,3e-05,36,131.4219324522914,0.09604975803451643,131.3258825481267
50,50,15,2,128,False,1,0.5,50,3e-05,37,130.87741965615288,0.10179120923768091,130.7756283164683
50,50,15,2,128,False,1,0.5,50,3e-05,38,130.3906629362159,0.10870173165976013,130.28196105114003
50,50,15,2,128,False,1,0.5,50,3e-05,39,129.82306123175016,0.11495428610572499,129.7081069946289
50,50,15,2,128,False,1,0.5,50,3e-05,40,129.49774637801872,0.12237032453493518,129.37537607435362
50,50,15,2,128,False,1,0.5,50,3e-05,41,129.05612949771776,0.1289548357300337,128.9271744364533
50,50,15,2,128,False,1,0.5,50,3e-05,42,128.7568005725165,0.1363954674967086,128.62040524983274
50,50,15,2,128,False,1,0.5,50,3e-05,43,128.3079237964272,0.14526867454881826,128.16265531929818
50,50,15,2,128,False,1,0.5,50,3e-05,44,128.00879108576484,0.15457645783108243,127.85421521097257
50,50,15,2,128,False,1,0.5,50,3e-05,45,127.74568163624126,0.1635351060009793,127.58214636533958
50,50,15,2,128,False,1,0.5,50,3e-05,46,127.42959544144941,0.1703419677131084,127.25925361253938
50,50,15,2,128,False,1,0.5,50,3e-05,47,127.107581712923,0.1779708273667657,126.9296113746601
50,50,15,2,128,False,1,0.5,50,3e-05,48,126.83148796123695,0.18699999655807875,126.64448783410847
50,50,15,2,128,False,1,0.5,50,3e-05,49,126.65464120938633,0.1944444612574182,126.4601968164602
