num_bdi_actions,num_rl_actions,plan_found,variation,error,bdi_score,rl_score,final_score,complete,num_plans,plan_library_size,plans_pct,eps
0,1,0,23,True,0,0,-100,True,0,17,2,294
34,0,1,24,False,100,0,100,True,8,17,2,294
12,1,1,25,True,3,0,-100,True,5,17,2,294
0,2,0,26,True,0,0,-100,True,0,18,2,294
0,1,0,27,True,0,0,-100,True,0,18,2,294
0,1,0,28,True,0,0,-100,True,0,19,2,294
0,1,0,29,True,0,0,-100,True,0,19,2,294
0,1,0,21,True,0,0,-100,True,0,16,2,352
0,1,0,22,True,0,0,-100,True,0,17,2,352
0,1,0,23,True,0,0,-100,True,0,17,2,352
34,0,1,24,False,100,0,100,True,8,17,2,352
12,1,1,25,True,3,0,-100,True,5,17,2,352
0,1,0,26,True,0,0,-100,True,0,18,2,352
0,1,0,27,True,0,0,-100,True,0,18,2,352
0,1,0,28,True,0,0,-100,True,0,19,2,352
0,1,0,29,True,0,0,-100,True,0,19,2,352
0,1,0,21,True,0,0,-100,True,0,16,2,407
0,1,0,22,True,0,0,-100,True,0,17,2,407
0,1,0,23,True,0,0,-100,True,0,17,2,407
34,0,1,24,False,100,0,100,True,8,17,2,407
12,1,1,25,True,3,0,-100,True,5,17,2,407
0,1,0,26,True,0,0,-100,True,0,18,2,407
0,1,0,27,True,0,0,-100,True,0,18,2,407
0,1,0,28,True,0,0,-100,True,0,19,2,407
0,1,0,29,True,0,0,-100,True,0,19,2,407
0,100,0,21,True,0,0,0,False,0,16,2,461
0,100,0,22,True,0,0,0,False,0,17,2,461
0,100,0,23,True,0,0,0,False,0,17,2,461
34,0,1,24,False,100,0,100,True,8,17,2,461
12,90,1,25,True,3,0,3,True,5,17,2,461
0,100,0,26,True,0,0,0,False,0,18,2,461
0,100,0,27,True,0,0,0,False,0,18,2,461
0,100,0,28,True,0,0,0,False,0,19,2,461
0,100,0,29,True,0,0,0,False,0,19,2,461
0,1,0,21,True,0,0,-100,True,0,16,2,520
0,1,0,22,True,0,0,-100,True,0,17,2,520
0,1,0,23,True,0,0,-100,True,0,17,2,520
34,0,1,24,False,100,0,100,True,8,17,2,520
12,1,1,25,True,3,0,-100,True,5,17,2,520
0,1,0,26,True,0,0,-100,True,0,18,2,520
0,1,0,27,True,0,0,-100,True,0,18,2,520
0,100,0,28,True,0,0,0,False,0,19,2,520
0,100,0,29,True,0,0,0,False,0,19,2,520
0,100,0,21,True,0,0,0,False,0,16,2,576
0,100,0,22,True,0,0,0,False,0,17,2,576
0,100,0,23,True,0,0,0,False,0,17,2,576
34,0,1,24,False,100,0,100,True,8,17,2,576
12,90,1,25,True,3,0,3,True,5,17,2,576
0,100,0,26,True,0,0,0,False,0,18,2,576
0,100,0,27,True,0,0,0,False,0,18,2,576
0,100,0,28,True,0,0,0,False,0,19,2,576
0,100,0,29,True,0,0,0,False,0,19,2,576
0,1,0,21,True,0,0,-100,True,0,16,2,60
0,1,0,22,True,0,0,-100,True,0,17,2,60
0,1,0,23,True,0,0,-100,True,0,17,2,60
34,0,1,24,False,100,0,100,True,8,17,2,60
12,1,1,25,True,3,0,-100,True,5,17,2,60
0,1,0,26,True,0,0,-100,True,0,18,2,60
0,1,0,27,True,0,0,-100,True,0,18,2,60
0,1,0,28,True,0,0,-100,True,0,19,2,60
0,1,0,29,True,0,0,-100,True,0,19,2,60
0,1,0,21,True,0,0,-100,True,0,19,5,119
0,1,0,22,True,0,0,-100,True,0,20,5,119
0,1,0,23,True,0,0,-100,True,0,20,5,119
34,0,1,24,False,100,0,100,True,8,20,5,119
12,1,1,25,True,3,0,-100,True,5,20,5,119
0,1,0,26,True,0,0,-100,True,0,21,5,119
0,1,0,27,True,0,0,-100,True,0,21,5,119
26,0,1,28,False,100,0,100,True,7,21,5,119
26,0,1,29,False,100,0,100,True,7,21,5,119
0,1,0,21,True,0,0,-100,True,0,19,5,176
0,1,0,22,True,0,0,-100,True,0,20,5,176
0,1,0,23,True,0,0,-100,True,0,20,5,176
34,0,1,24,False,100,0,100,True,8,20,5,176
12,1,1,25,True,3,0,-100,True,5,20,5,176
0,1,0,26,True,0,0,-100,True,0,21,5,176
0,1,0,27,True,0,0,-100,True,0,21,5,176
26,0,1,28,False,100,0,100,True,7,21,5,176
26,0,1,29,False,100,0,100,True,7,21,5,176
0,100,0,21,True,0,3,3,False,0,19,5,233
0,100,0,22,True,0,3,3,False,0,20,5,233
0,100,0,23,True,0,3,3,False,0,20,5,233
34,0,1,24,False,100,0,100,True,8,20,5,233
12,90,1,25,True,3,0,3,True,5,20,5,233
0,100,0,26,True,0,3,3,False,0,21,5,233
0,100,0,27,True,0,3,3,False,0,21,5,233
26,0,1,28,False,100,0,100,True,7,21,5,233
26,0,1,29,False,100,0,100,True,7,21,5,233
0,1,0,21,True,0,0,-100,True,0,19,5,294
0,1,0,22,True,0,0,-100,True,0,20,5,294
0,1,0,23,True,0,0,-100,True,0,20,5,294
34,0,1,24,False,100,0,100,True,8,20,5,294
12,1,1,25,True,3,0,-100,True,5,20,5,294
0,2,0,26,True,0,0,-100,True,0,21,5,294
0,1,0,27,True,0,0,-100,True,0,21,5,294
26,0,1,28,False,100,0,100,True,7,21,5,294
26,0,1,29,False,100,0,100,True,7,21,5,294
0,1,0,21,True,0,0,-100,True,0,19,5,352
0,1,0,22,True,0,0,-100,True,0,20,5,352
0,1,0,23,True,0,0,-100,True,0,20,5,352
34,0,1,24,False,100,0,100,True,8,20,5,352
12,1,1,25,True,3,0,-100,True,5,20,5,352
0,1,0,26,True,0,0,-100,True,0,21,5,352
0,1,0,27,True,0,0,-100,True,0,21,5,352
26,0,1,28,False,100,0,100,True,7,21,5,352
26,0,1,29,False,100,0,100,True,7,21,5,352
0,1,0,21,True,0,0,-100,True,0,19,5,407
0,1,0,22,True,0,0,-100,True,0,20,5,407
0,1,0,23,True,0,0,-100,True,0,20,5,407
34,0,1,24,False,100,0,100,True,8,20,5,407
12,1,1,25,True,3,0,-100,True,5,20,5,407
0,1,0,26,True,0,0,-100,True,0,21,5,407
0,1,0,27,True,0,0,-100,True,0,21,5,407
26,0,1,28,False,100,0,100,True,7,21,5,407
26,0,1,29,False,100,0,100,True,7,21,5,407
0,100,0,21,True,0,0,0,False,0,19,5,461
0,100,0,22,True,0,0,0,False,0,20,5,461
0,100,0,23,True,0,0,0,False,0,20,5,461
34,0,1,24,False,100,0,100,True,8,20,5,461
12,90,1,25,True,3,0,3,True,5,20,5,461
0,100,0,26,True,0,0,0,False,0,21,5,461
0,100,0,27,True,0,0,0,False,0,21,5,461
26,0,1,28,False,100,0,100,True,7,21,5,461
26,0,1,29,False,100,0,100,True,7,21,5,461
0,1,0,21,True,0,0,-100,True,0,19,5,520
